M , N, Misprediction Rate GCC ,Misprediction Rate JPEG, Misprediction Rate PERL
7, 2, 24.34%, 8.08%, 28.98%
7, 3, 25.21%, 8.53%, 29.98%
7, 4, 25.96%, 8.92%, 30.76%
7, 5, 27.26%, 9.39%, 31.90%
7, 6, 28.71%, 9.74%, 33.22%
7, 7, 31.60%, 9.78%, 33.84%
8, 2, 16.92%, 7.79%, 25.18%
8, 3, 16.32%, 9.45%, 25.96%
8, 4, 19.09%, 7.88%, 26.57%
8, 5, 20.13%, 8.37%, 27.35%
8, 6, 20.45%, 8.87%, 27.82%
8, 7, 22.64%, 8.82%, 29.59%
8, 8, 24.79%, 9.20%, 30.56%
9, 2, 13.57%, 7.58%, 20.25%
9, 3, 14.80%, 7.58%, 21.67%
9, 4, 14.68%, 7.68%, 22.43%
9, 5, 15.95%, 7.88%, 23.42%
9, 6, 16.25%, 8.13%, 24.14%
9, 7, 16.58%, 8.11%, 24.84%
9, 8, 17.66%, 8.30%, 26.08%
9, 9, 19.54%, 8.55%, 26.79%
10, 2, 10.63%, 7.49%, 16.39%
10, 3, 11.44%, 7.43%, 17.45%
10, 4, 11.35%, 7.38%, 17.99%
10, 5, 10.66%, 7.49%, 18.11%
10, 6, 11.52%, 7.58%, 19.36%
10, 7, 11.96%, 7.28%, 20.40%
10, 8, 12.42%, 7.45%, 21.10%
10, 9, 12.88%, 7.70%, 21.91%
10, 10, 14.57%, 7.95%, 22.77%
11, 2, 10.11%, 7.45%, 13.71%
11, 3, 9.58%, 7.39%, 14.29%
11, 4, 9.68%, 7.27%, 14.49%
11, 5, 9.05%, 7.33%, 14.67%
11, 6, 8.60%, 7.38%, 15.14%
11, 7, 8.56%, 7.13%, 15.78%
11, 8, 9.00%, 7.17%, 16.47%
11, 9, 8.91%, 7.24%, 17.28%
11, 10, 8.98%, 7.44%, 18.34%
11, 11, 10.63%, 7.66%, 18.93%
12, 2, 9.03%, 7.44%, 12.20%
12, 3, 8.77%, 7.36%, 12.09%
12, 4, 8.09%, 7.26%, 12.23%
12, 5, 7.83%, 7.24%, 12.50%
12, 6, 7.50%, 7.19%, 12.46%
12, 7, 7.17%, 6.88%, 12.70%
12, 8, 6.49%, 6.84%, 13.00%
12, 9, 6.21%, 7.01%, 13.74%
12, 10, 6.71%, 7.18%, 14.33%
12, 11, 6.73%, 7.38%, 14.83%
12, 12, 7.16%, 7.35%, 15.40%
13, 2, 9.23%, 7.33%, 11.11%
13, 3, 8.44%, 7.32%, 10.79%
13, 4, 7.27%, 7.24%, 10.57%
13, 5, 6.57%, 7.20%, 10.64%
13, 6, 6.09%, 7.16%, 10.59%
13, 7, 5.58%, 6.88%, 10.56%
13, 8, 5.26%, 6.83%, 11.00%
13, 9, 5.05%, 6.91%, 11.30%
13, 10, 4.92%, 7.02%, 11.68%
13, 11, 4.89%, 7.13%, 12.13%
13, 12, 5.09%, 7.17%, 12.68%
13, 13, 4.77%, 7.22%, 12.87%
14, 2, 8.07%, 7.32%, 10.42%
14, 3, 8.48%, 7.25%, 10.04%
14, 4, 7.35%, 7.17%, 9.69%
14, 5, 6.44%, 7.14%, 9.41%
14, 6, 5.43%, 7.14%, 9.08%
14, 7, 5.00%, 6.78%, 9.16%
14, 8, 4.51%, 6.69%, 9.34%
14, 9, 4.05%, 6.74%, 9.57%
14, 10, 3.80%, 6.84%, 9.83%
14, 11, 4.13%, 6.88%, 10.09%
14, 12, 4.30%, 6.84%, 10.48%
14, 13, 3.82%, 6.99%, 10.90%
14, 14, 3.75%, 6.93%, 11.13%
15, 2, 8.02%, 7.31%, 10.13%
15, 3, 7.52%, 7.24%, 9.64%
15, 4, 7.28%, 7.13%, 9.13%
15, 5, 6.18%, 7.15%, 8.75%
15, 6, 5.71%, 7.09%, 8.30%
15, 7, 5.08%, 6.79%, 8.20%
15, 8, 4.13%, 6.69%, 8.22%
15, 9, 3.72%, 6.69%, 8.23%
15, 10, 3.58%, 6.72%, 8.46%
15, 11, 3.42%, 6.74%, 8.75%
15, 12, 3.35%, 6.70%, 9.01%
15, 13, 3.48%, 6.76%, 9.20%
15, 14, 3.58%, 6.67%, 9.48%
15, 15, 3.59%, 6.75%, 9.85%
16, 2, 8.04%, 7.31%, 9.93%
16, 3, 7.52%, 7.24%, 9.34%
16, 4, 6.54%, 7.13%, 8.77%
16, 5, 5.82%, 7.10%, 8.42%
16, 6, 5.07%, 7.08%, 7.89%
16, 7, 4.66%, 6.75%, 7.58%
16, 8, 4.12%, 6.65%, 7.57%
16, 9, 3.99%, 6.67%, 7.49%
16, 10, 3.84%, 6.70%, 7.61%
16, 11, 3.64%, 6.72%, 7.72%
16, 12, 3.53%, 6.66%, 7.86%
16, 13, 3.30%, 6.68%, 8.08%
16, 14, 3.01%, 6.57%, 8.34%
16, 15, 2.97%, 6.63%, 8.56%
16, 16, 2.91%, 6.68%, 8.75%
